2,2,normDataCorrected_.mage-tab_out.txt,Hybridization REF,na,Hybridization REF
5,5,normDataCorrected_.mage-tab_out.txt,Hybridization REF,na,Hybridization REF
9,9,normDataCorrected_.mage-tab_out.txt,Hybridization REF,na,Hybridization REF
11,11,normDataCorrected_.mage-tab_out.txt,Hybridization REF,na,Hybridization REF
14,14,normDataCorrected_.mage-tab_out.txt,Hybridization REF,na,Hybridization REF
16,16,normDataCorrected_.mage-tab_out.txt,Hybridization REF,na,Hybridization REF
17,17,normDataCorrected_.mage-tab_out.txt,Hybridization REF,na,Hybridization REF
21,21,normDataCorrected_.mage-tab_out.txt,Hybridization REF,na,Hybridization REF
22,22,normDataCorrected_.mage-tab_out.txt,Hybridization REF,na,Hybridization REF
23,23,normDataCorrected_.mage-tab_out.txt,Hybridization REF,na,Hybridization REF
26,26,normDataCorrected_.mage-tab_out.txt,Hybridization REF,na,Hybridization REF
27,27,normDataCorrected_.mage-tab_out.txt,Hybridization REF,na,Hybridization REF
33,33,normDataCorrected_.mage-tab_out.txt,Hybridization REF,na,Hybridization REF
34,34,normDataCorrected_.mage-tab_out.txt,Hybridization REF,na,Hybridization REF
39,39,normDataCorrected_.mage-tab_out.txt,Hybridization REF,na,Hybridization REF
42,42,normDataCorrected_.mage-tab_out.txt,Hybridization REF,na,Hybridization REF
53,53,normDataCorrected_.mage-tab_out.txt,Hybridization REF,na,Hybridization REF
54,54,normDataCorrected_.mage-tab_out.txt,Hybridization REF,na,Hybridization REF
63,63,normDataCorrected_.mage-tab_out.txt,Hybridization REF,na,Hybridization REF
66,66,normDataCorrected_.mage-tab_out.txt,Hybridization REF,na,Hybridization REF
73,73,normDataCorrected_.mage-tab_out.txt,Hybridization REF,na,Hybridization REF
74,74,normDataCorrected_.mage-tab_out.txt,Hybridization REF,na,Hybridization REF
78,78,normDataCorrected_.mage-tab_out.txt,Hybridization REF,na,Hybridization REF
84,84,normDataCorrected_.mage-tab_out.txt,Hybridization REF,na,Hybridization REF
86,86,normDataCorrected_.mage-tab_out.txt,Hybridization REF,na,Hybridization REF
88,88,normDataCorrected_.mage-tab_out.txt,Hybridization REF,na,Hybridization REF
91,91,normDataCorrected_.mage-tab_out.txt,Hybridization REF,na,Hybridization REF
95,95,normDataCorrected_.mage-tab_out.txt,Hybridization REF,na,Hybridization REF
99,99,normDataCorrected_.mage-tab_out.txt,Hybridization REF,na,Hybridization REF
102,102,normDataCorrected_.mage-tab_out.txt,Hybridization REF,na,Hybridization REF
103,103,normDataCorrected_.mage-tab_out.txt,Hybridization REF,na,Hybridization REF
107,107,normDataCorrected_.mage-tab_out.txt,Hybridization REF,na,Hybridization REF
110,110,normDataCorrected_.mage-tab_out.txt,Hybridization REF,na,Hybridization REF
111,111,normDataCorrected_.mage-tab_out.txt,Hybridization REF,na,Hybridization REF
112,112,normDataCorrected_.mage-tab_out.txt,Hybridization REF,na,Hybridization REF
114,114,normDataCorrected_.mage-tab_out.txt,Hybridization REF,na,Hybridization REF
120,120,normDataCorrected_.mage-tab_out.txt,Hybridization REF,na,Hybridization REF
122,122,normDataCorrected_.mage-tab_out.txt,Hybridization REF,na,Hybridization REF
125,125,normDataCorrected_.mage-tab_out.txt,Hybridization REF,na,Hybridization REF
130,130,normDataCorrected_.mage-tab_out.txt,Hybridization REF,na,Hybridization REF
132,132,normDataCorrected_.mage-tab_out.txt,Hybridization REF,na,Hybridization REF
133,133,normDataCorrected_.mage-tab_out.txt,Hybridization REF,na,Hybridization REF
138,138,normDataCorrected_.mage-tab_out.txt,Hybridization REF,na,Hybridization REF
147,147,normDataCorrected_.mage-tab_out.txt,Hybridization REF,na,Hybridization REF
148,148,normDataCorrected_.mage-tab_out.txt,Hybridization REF,na,Hybridization REF
150,150,normDataCorrected_.mage-tab_out.txt,Hybridization REF,na,Hybridization REF
153,153,normDataCorrected_.mage-tab_out.txt,Hybridization REF,na,Hybridization REF
158,158,normDataCorrected_.mage-tab_out.txt,Hybridization REF,na,Hybridization REF
167,167,normDataCorrected_.mage-tab_out.txt,Hybridization REF,na,Hybridization REF
168,168,normDataCorrected_.mage-tab_out.txt,Hybridization REF,na,Hybridization REF
