713,Cairo 713 T vs N
719,Cairo 719 T vs N
720,Cairo 720 T vs N
722,Cairo 722 T vs N
723,Cairo 723 T vs N
730,Cairo 730 T vs N
731,Cairo 731 T vs N
734,Cairo 734 T vs N
741,Cairo 741 T vs N
749,Cairo 749 T vs N
751,Cairo 751 T vs N
756,Cairo 756 T vs N
762,Cairo 762 T vs N
764,Cairo 764 T vs N
771,Cairo 771 T vs N
773,Cairo 773 T vs N
776,Cairo 776 T vs N
778,Cairo 778 T vs N
781,Cairo 781 T vs N
782,Cairo 782 T vs N
787,Cairo 787 T vs N
788,Cairo 788 T vs N
794,Cairo 794 T vs N
798,Cairo 798 T vs N
799,Cairo 799 T vs N
806,Cairo 806 T vs N
814,Cairo 814 T vs N
818,Cairo 818 T vs Fpool_Cy3_0158
